gen alive: 5, params: danger divisor: 17.36623398843239, min opp score: 398.6186573067664, corner divisor: 3.1453760796352537, corner exponent: 2.7716609759360358, id: 65949, score: 6
gen alive: 5, params: corner divisor: 6.822186406432596, corner exponent: 2.5761233407149957, min opp score: 211.0516586939043, danger divisor: 6.398559119938601, id: 65965, score: 6
gen alive: 5, params: corner divisor: 1.4987651649139213, corner exponent: 2.2665088090657495, min opp score: 327.5457454380129, danger divisor: 8.311774935155587, id: 65991, score: 6
gen alive: 5, params: min opp score: 717.3970583392938, danger divisor: 19.559648280178322, corner divisor: 2.6286749640684217, corner exponent: 2.498837934281374, id: 66037, score: 6
gen alive: 5, params: danger divisor: 11.625759205809242, min opp score: 114.01999743521873, corner divisor: 2.0971930306885422, corner exponent: 1.8022180011020041, id: 66065, score: 6
gen alive: 5, params: danger divisor: 7.511973584332567, min opp score: 305.51634188637297, corner divisor: 3.1453760796352537, corner exponent: 2.7716609759360358, id: 66067, score: 6
gen alive: 5, params: danger divisor: 15.70819928520957, corner divisor: 4.465786036298703, corner exponent: 2.4401458802567406, min opp score: 295.43498947386047, id: 66141, score: 6
gen alive: 5, params: danger divisor: 5.518628184413958, min opp score: 364.67685258798, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 66147, score: 6
gen alive: 5, params: danger divisor: 8.965216797270655, min opp score: 614.3742939053377, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 66161, score: 6
gen alive: 5, params: danger divisor: 4.987744396182736, min opp score: 364.67685258798, corner divisor: 1.4250631408404224, corner exponent: 1.8308907467277356, chip divisor: 10.106871055943323, id: 66215, score: 6
gen alive: 5, params: danger divisor: 6.271228274943471, min opp score: 206.68646716513717, corner divisor: 2.2111998301497744, corner exponent: 1.1037134909150217, id: 66228, score: 6
gen alive: 5, params: danger divisor: 4.537859020892807, min opp score: 132.4591257823052, corner divisor: 1.4250631408404224, corner exponent: 2.5498235302258094, id: 66243, score: 6
gen alive: 4, params: danger divisor: 1.927305200893247, min opp score: 563.8329272113738, corner divisor: 15.99685939898481, corner exponent: 2.0977895008111416, id: 65001, score: 6
gen alive: 4, params: danger divisor: 9.959617267613273, min opp score: 468.38850026829994, corner divisor: 5.311353079304133, corner exponent: 2.498837934281374, id: 65471, score: 6
gen alive: 4, params: corner divisor: 5.195927270084228, corner exponent: 2.9278687981684426, danger divisor: 7.377146476844247, min opp score: 463.6715524257269, id: 65533, score: 6
gen alive: 4, params: danger divisor: 9.784321375664911, min opp score: 430.74219453760657, corner divisor: 1.4987651649139213, corner exponent: 2.0977895008111416, id: 65581, score: 6
gen alive: 4, params: danger divisor: 17.02571247115679, min opp score: 994.0036942109843, corner divisor: 6.274969994430976, corner exponent: 2.8012004491620806, id: 65627, score: 6
gen alive: 4, params: danger divisor: 6.671258042079306, corner divisor: 6.7196864789350075, corner exponent: 1.908081187041208, min opp score: 703.1691532600419, id: 65661, score: 6
gen alive: 4, params: danger divisor: 13.2906186752591, min opp score: 106.15548657409258, corner divisor: 6.402195985710644, corner exponent: 1.7999660408649756, id: 65971, score: 6
gen alive: 4, params: danger divisor: 8.588655944402898, min opp score: 499.24933100968354, corner divisor: 6.700122769780155, corner exponent: 2.8221839712707095, id: 66011, score: 6
gen alive: 4, params: danger divisor: 1.7721408789033868, min opp score: 575.7303193437509, corner divisor: 5.11587500281671, corner exponent: 1.12902073209985, id: 66111, score: 6
gen alive: 4, params: danger divisor: 5.276545761998908, min opp score: 691.1119356613088, corner divisor: 13.236731675016166, corner exponent: 1.7999660408649756, id: 66133, score: 6
gen alive: 4, params: danger divisor: 1.8535218465047614, min opp score: 793.0041799464585, corner divisor: 5.311353079304133, corner exponent: 2.498837934281374, id: 66139, score: 6
gen alive: 4, params: danger divisor: 14.527104119243862, min opp score: 323.5573103970566, corner divisor: 5.4568328360933585, corner exponent: 1.5667532729206057, chip divisor: 16.028058214373857, id: 66163, score: 6
gen alive: 4, params: danger divisor: 1.9783902222229983, min opp score: 318.27127743183485, corner divisor: 1.4250631408404224, corner exponent: 2.5498235302258094, id: 66218, score: 6
gen alive: 4, params: danger divisor: 5.184922336002935, corner divisor: 15.92088643538482, corner exponent: 2.8632772617059343, chip divisor: 17.107873262271177, id: 66245, score: 6
gen alive: 4, params: danger divisor: 1.927305200893247, min opp score: 563.8329272113738, corner divisor: 1.4987651649139213, corner exponent: 2.0977895008111416, id: 66267, score: 6
gen alive: 4, params: min opp score: 218.11346900321496, corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, chip divisor: 9.98454697546101, danger divisor: 9.347866778700519, id: 66269, score: 6
