{'ppo_masked_385': ([1, 90], [2, 97]), 'ppo_masked_118': ([2, 108], [1, 95]), 'zeros': ([0, 2], [0, 8])}
{'ppo_masked_385': ([1, 73], [2, 97]), 'ppo_masked_119': ([2, 119], [1, 98]), 'zeros': ([0, 8], [0, 5])}
{'ppo_masked_385': ([1, 80], [2, 93]), 'ppo_masked_120': ([2, 114], [1, 99]), 'zeros': ([0, 6], [0, 8])}
{'ppo_masked_385': ([1, 82], [2, 97]), 'ppo_masked_121': ([2, 113], [1, 99]), 'zeros': ([0, 5], [0, 4])}
{'ppo_masked_385': ([1, 86], [2, 91]), 'ppo_masked_122': ([2, 109], [1, 99]), 'zeros': ([0, 5], [0, 10])}
{'ppo_masked_385': ([1, 99], [2, 89]), 'ppo_masked_123': ([2, 96], [1, 99]), 'zeros': ([0, 5], [0, 12])}
{'ppo_masked_385': ([1, 80], [2, 89]), 'ppo_masked_124': ([2, 114], [1, 101]), 'zeros': ([0, 6], [0, 10])}
{'ppo_masked_385': ([1, 78], [2, 92]), 'ppo_masked_125': ([2, 117], [1, 102]), 'zeros': ([0, 5], [0, 6])}
{'ppo_masked_385': ([1, 95], [2, 93]), 'ppo_masked_126': ([2, 97], [1, 97]), 'zeros': ([0, 8], [0, 10])}
{'ppo_masked_385': ([1, 87], [2, 80]), 'ppo_masked_127': ([2, 107], [1, 116]), 'zeros': ([0, 6], [0, 4])}
{'ppo_masked_385': ([1, 90], [2, 95]), 'ppo_masked_128': ([2, 108], [1, 98]), 'zeros': ([0, 2], [0, 7])}
{'ppo_masked_385': ([1, 101], [2, 84]), 'ppo_masked_129': ([2, 93], [1, 110]), 'zeros': ([0, 6], [0, 6])}
{'ppo_masked_385': ([1, 90], [2, 83]), 'ppo_masked_130': ([2, 107], [1, 106]), 'zeros': ([0, 3], [0, 11])}
{'ppo_masked_385': ([1, 82], [2, 98]), 'ppo_masked_131': ([2, 113], [1, 97]), 'zeros': ([0, 5], [0, 5])}
{'ppo_masked_385': ([1, 87], [2, 81]), 'ppo_masked_132': ([2, 102], [1, 110]), 'zeros': ([0, 11], [0, 9])}
{'ppo_masked_385': ([1, 79], [2, 91]), 'ppo_masked_133': ([2, 116], [1, 108]), 'zeros': ([0, 5], [0, 1])}
{'ppo_masked_385': ([1, 96], [2, 84]), 'ppo_masked_134': ([2, 97], [1, 107]), 'zeros': ([0, 7], [0, 9])}
{'ppo_masked_385': ([1, 75], [2, 82]), 'ppo_masked_135': ([2, 121], [1, 112]), 'zeros': ([0, 4], [0, 6])}
{'ppo_masked_385': ([1, 91], [2, 79]), 'ppo_masked_136': ([2, 104], [1, 118]), 'zeros': ([0, 5], [0, 3])}
{'ppo_masked_385': ([1, 89], [2, 94]), 'ppo_masked_137': ([2, 106], [1, 100]), 'zeros': ([0, 5], [0, 6])}
