gen alive: 4, params: min opp score: 134.81251548249284, corner divisor: 1.5310219545644048, corner exponent: 2.1814574775291447, danger divisor: 3.796516732917544, id: 5330, score: 16
gen alive: 4, params: min opp score: 579.5182957038164, danger divisor: 1.5537486913611744, corner divisor: 4.576427004489257, corner exponent: 2.5781419922443383, id: 5378, score: 16
gen alive: 16, params: min opp score: 101.9816520688636, corner divisor: 1.5310219545644048, corner exponent: 1.7458815348936094, danger divisor: 1.2373134973252098, id: 4752, score: 15
gen alive: 15, params: min opp score: 466.95872275068115, danger divisor: 8.831327708991182, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 4954, score: 15
gen alive: 10, params: min opp score: 107.92417199617526, corner divisor: 9.240346406981443, corner exponent: 2.9355410785547242, danger divisor: 5.1203181262998445, id: 5361, score: 15
gen alive: 9, params: min opp score: 215.6534055459672, danger divisor: 5.1203181262998445, corner divisor: 2.01367601221817, corner exponent: 2.192998573419733, id: 5112, score: 15
gen alive: 8, params: min opp score: 466.95872275068115, danger divisor: 3.616338057286209, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 5346, score: 15
gen alive: 8, params: corner divisor: 5.12066085625662, corner exponent: 1.7349343381957252, danger divisor: 3.796516732917544, min opp score: 289.6768517192754, id: 5376, score: 15
gen alive: 8, params: min opp score: 183.50490828916523, danger divisor: 1.5537486913611744, corner divisor: 1.1676389748210614, corner exponent: 2.3408568067973343, id: 5379, score: 15
gen alive: 7, params: min opp score: 408.5290108669427, danger divisor: 5.1203181262998445, corner divisor: 10.412138896373664, corner exponent: 2.8935209404083704, id: 5102, score: 15
gen alive: 6, params: corner divisor: 4.63178809047317, corner exponent: 1.982005661797014, danger divisor: 15.439573957914103, min opp score: 101.1610377182963, id: 5296, score: 15
gen alive: 5, params: min opp score: 101.9816520688636, corner divisor: 1.5310219545644048, corner exponent: 2.8619319699811885, danger divisor: 9.187452221345499, id: 5352, score: 15
gen alive: 5, params: min opp score: 335.6190432629545, corner divisor: 2.493002072149725, corner exponent: 1.727524045341805, danger divisor: 1.2373134973252098, id: 5372, score: 15
gen alive: 4, params: corner divisor: 8.614627729817538, corner exponent: 2.5140031266091194, danger divisor: 5.914286357906033, min opp score: 289.6768517192754, id: 5355, score: 15
gen alive: 2, params: min opp score: 237.88584191535557, corner divisor: 2.252741064069471, corner exponent: 1.982234097182586, danger divisor: 14.782000291923007, id: 5140, score: 15
gen alive: 2, params: min opp score: 620.3355814824321, corner divisor: 8.197066801432582, corner exponent: 1.8889820824521142, danger divisor: 5.479168585537535, id: 5336, score: 15
gen alive: 12, params: min opp score: 107.92417199617526, danger divisor: 6.273854324647272, corner divisor: 5.12066085625662, corner exponent: 1.9881182514942035, id: 5262, score: 13
gen alive: 10, params: min opp score: 220.47970374266245, danger divisor: 8.831327708991182, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 5382, score: 13
gen alive: 9, params: min opp score: 335.6190432629545, corner divisor: 1.5310219545644048, corner exponent: 1.727524045341805, danger divisor: 6.797300559644669, id: 5174, score: 13
gen alive: 9, params: min opp score: 100.10656952341613, corner divisor: 10.412138896373664, corner exponent: 2.8935209404083704, danger divisor: 8.70388897973142, id: 5367, score: 13
gen alive: 6, params: min opp score: 237.88584191535557, corner divisor: 2.252741064069471, corner exponent: 1.982234097182586, danger divisor: 3.796516732917544, id: 5373, score: 13
gen alive: 1, params: danger divisor: 17.839871889413935, corner divisor: 9.826983283752623, corner exponent: 1.3028208202021336, min opp score: 116.71276783504992, id: 5385, score: 13
gen alive: 1, params: min opp score: 933.4463032059521, corner divisor: 3.4283015103676266, corner exponent: 2.9332123044324274, danger divisor: 11.067347681448389, id: 5227, score: 13
gen alive: 11, params: min opp score: 107.92417199617526, danger divisor: 5.1203181262998445, corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, id: 5272, score: 12
gen alive: 11, params: min opp score: 100.10656952341613, danger divisor: 1.5537486913611744, corner divisor: 3.546408867703937, corner exponent: 1.5474369499067955, id: 5370, score: 12
gen alive: 10, params: min opp score: 218.7539601337682, corner divisor: 1.3142491369445581, corner exponent: 2.021810565452122, danger divisor: 1.2373134973252098, id: 4815, score: 12
