gen alive: 7, params: corner divisor: 1.4141726915481594, corner exponent: 2.8518345300175136, min opp score: 161.39171022896363, danger divisor: 13.315020115302747, id: 30469, score: 39
gen alive: 6, params: min opp score: 164.37054741828962, danger divisor: 15.665389309406015, corner divisor: 2.190810671313228, corner exponent: 2.262024925445173, id: 29949, score: 39
gen alive: 6, params: corner divisor: 3.065113543977146, corner exponent: 2.370181036339367, danger divisor: 9.875896915312495, min opp score: 104.61670016608777, id: 28935, score: 39
gen alive: 6, params: corner divisor: 2.862241644415418, corner exponent: 2.297302771772983, min opp score: 998.4304185574136, danger divisor: 2.7610173220029974, id: 30365, score: 39
gen alive: 5, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, min opp score: 457.90872599160775, danger divisor: 2.305755204698305, id: 30403, score: 39
gen alive: 4, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 593.5382928593606, danger divisor: 1.391968915189532, id: 30201, score: 39
gen alive: 1, params: corner divisor: 1.5674031545418696, corner exponent: 2.3312110028337907, min opp score: 710.1330202618356, danger divisor: 3.7780817750584568, id: 29991, score: 39
gen alive: 1, params: corner divisor: 18.565381290568673, corner exponent: 1.8620869788133836, min opp score: 462.49659878855954, danger divisor: 2.7610173220029974, id: 30094, score: 39
gen alive: 30, params: corner divisor: 1.924872582001383, corner exponent: 2.440867028945015, danger divisor: 2.7610173220029974, min opp score: 181.24629162465823, id: 25961, score: 38
gen alive: 27, params: corner divisor: 1.5674031545418696, corner exponent: 2.2759086394161656, min opp score: 170.58405237342106, danger divisor: 1.721555916548688, id: 30571, score: 37
gen alive: 18, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 797.3777425598896, danger divisor: 1.7502101156723189, id: 28476, score: 37
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.3348231010915717, danger divisor: 1.286596863030676, min opp score: 422.7236679380361, id: 26998, score: 37
gen alive: 17, params: corner divisor: 1.8908946854051345, corner exponent: 2.5580553710702327, min opp score: 201.6735042815908, danger divisor: 4.499884455129706, id: 28447, score: 37
gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 797.3777425598896, danger divisor: 2.7610173220029974, id: 30497, score: 37
gen alive: 13, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, min opp score: 139.1762947009676, danger divisor: 7.895517251511161, id: 28277, score: 37
gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 2.2736765941280996, danger divisor: 8.125991955996273, min opp score: 189.06154507642202, id: 29502, score: 37
gen alive: 11, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, min opp score: 132.8136760948767, danger divisor: 2.7610173220029974, id: 30509, score: 37
gen alive: 8, params: corner divisor: 6.296867894479233, corner exponent: 2.334341996376168, min opp score: 140.64327332353807, danger divisor: 2.55846266216978, id: 30321, score: 37
gen alive: 7, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 186.51853826082674, danger divisor: 1.010893768132255, id: 29833, score: 37
gen alive: 6, params: corner divisor: 1.5674031545418696, corner exponent: 2.2759086394161656, min opp score: 384.2841493613161, danger divisor: 12.040257580548987, id: 30363, score: 37
gen alive: 2, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, min opp score: 332.36359496970766, danger divisor: 2.427609615172452, id: 29557, score: 37
