gen alive: 28, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, min opp score: 333.68306023634824, danger divisor: 1.286596863030676, id: 34698, score: 42
gen alive: 27, params: corner divisor: 1.6605167116807906, corner exponent: 2.998997981500411, danger divisor: 1.2795981536117687, min opp score: 186.51853826082674, id: 40793, score: 42
gen alive: 26, params: corner divisor: 1.924872582001383, corner exponent: 2.5580553710702327, min opp score: 148.5830980749371, danger divisor: 1.0824483397993152, id: 40783, score: 42
gen alive: 23, params: corner divisor: 2.438497591931453, corner exponent: 2.971271345743081, danger divisor: 5.566037495357473, min opp score: 189.06154507642202, id: 39677, score: 42
gen alive: 23, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, danger divisor: 1.4941192249339745, min opp score: 129.45426664334602, id: 40213, score: 42
gen alive: 23, params: corner divisor: 1.4141726915481594, corner exponent: 2.4558780495786436, danger divisor: 2.272649183166843, min opp score: 655.9652603309145, id: 40195, score: 42
gen alive: 22, params: corner divisor: 2.862241644415418, corner exponent: 1.7007481374325488, min opp score: 139.1762947009676, danger divisor: 2.550749837089523, id: 37717, score: 42
gen alive: 21, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 148.5830980749371, danger divisor: 9.154363815628427, id: 37638, score: 42
gen alive: 19, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 4.99543212518088, id: 40209, score: 42
gen alive: 18, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 2.305755204698305, min opp score: 264.6591128011194, id: 40248, score: 42
gen alive: 18, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, min opp score: 284.6640336040204, danger divisor: 8.497148044118942, id: 37119, score: 42
gen alive: 18, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 144.36856232262755, id: 40697, score: 42
gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 550.9990235223217, id: 40655, score: 42
gen alive: 17, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.305755204698305, min opp score: 264.6591128011194, id: 40685, score: 42
gen alive: 16, params: corner divisor: 5.317865990250918, corner exponent: 2.086966289687699, min opp score: 159.49531753453243, danger divisor: 2.305755204698305, id: 35921, score: 42
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.2092253401801756, danger divisor: 12.592537131398785, min opp score: 144.36856232262755, id: 38595, score: 42
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 2.3253769003294114, danger divisor: 2.914264166191812, min opp score: 223.6095759741716, id: 40701, score: 42
gen alive: 8, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 6.134030719625546, min opp score: 123.3389462113348, id: 39087, score: 42
gen alive: 7, params: min opp score: 291.7893911910607, danger divisor: 8.62187440054989, corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, id: 40415, score: 42
gen alive: 17, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.7610173220029974, min opp score: 595.4603774448778, id: 38357, score: 41
gen alive: 21, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.305755204698305, min opp score: 209.6381328125266, id: 40807, score: 40
gen alive: 19, params: min opp score: 139.1762947009676, danger divisor: 1.2795981536117687, corner divisor: 7.148696550190694, corner exponent: 2.2598701791750018, id: 40692, score: 40
gen alive: 18, params: corner divisor: 2.438497591931453, corner exponent: 2.8518345300175136, danger divisor: 2.305755204698305, min opp score: 144.36856232262755, id: 40762, score: 40
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, danger divisor: 2.305755204698305, min opp score: 912.4291497322151, id: 40583, score: 40
