gen alive: 31, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 275.69031241100663, id: 41203, score: 39
gen alive: 29, params: corner divisor: 1.924872582001383, corner exponent: 2.170030322439154, min opp score: 148.5830980749371, danger divisor: 2.1363654620757626, id: 45924, score: 39
gen alive: 26, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.1412717744043266, min opp score: 144.36856232262755, id: 41663, score: 39
gen alive: 26, params: danger divisor: 4.757401389740438, min opp score: 144.36856232262755, corner divisor: 1.5674031545418696, corner exponent: 2.5580553710702327, id: 45785, score: 39
gen alive: 24, params: danger divisor: 9.299998166885015, min opp score: 210.97974675215204, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 42846, score: 39
gen alive: 21, params: danger divisor: 2.914264166191812, min opp score: 866.2710728948712, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 40963, score: 39
gen alive: 21, params: danger divisor: 2.305755204698305, min opp score: 144.36856232262755, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 44359, score: 39
gen alive: 20, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, danger divisor: 1.867775139352426, min opp score: 181.7485407405625, id: 45285, score: 39
gen alive: 20, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 122.4941592700856, danger divisor: 3.027832270648794, id: 45895, score: 39
gen alive: 19, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 2.7610173220029974, min opp score: 139.1762947009676, id: 44328, score: 39
gen alive: 18, params: corner divisor: 1.924872582001383, corner exponent: 2.440867028945015, danger divisor: 2.7610173220029974, min opp score: 117.71785595641863, id: 45796, score: 39
gen alive: 17, params: corner divisor: 2.903922453514067, corner exponent: 2.2332080320729646, danger divisor: 2.305755204698305, min opp score: 495.5512233483736, id: 44793, score: 39
gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 1.7273098896886179, danger divisor: 1.0824483397993152, min opp score: 270.2358105906869, id: 45823, score: 39
gen alive: 17, params: corner divisor: 1.5867073576676085, corner exponent: 2.3348231010915717, danger divisor: 1.3608522065063957, min opp score: 212.75495741371265, id: 45825, score: 39
gen alive: 16, params: corner divisor: 1.924872582001383, corner exponent: 1.7273098896886179, min opp score: 148.5830980749371, danger divisor: 17.326787610715197, id: 43443, score: 39
gen alive: 16, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 141.34469833936106, danger divisor: 1.7808221836541742, id: 43375, score: 39
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 8.62187440054989, min opp score: 180.08846005231828, id: 45793, score: 39
gen alive: 16, params: danger divisor: 1.867775139352426, min opp score: 202.5749573151316, corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, id: 45851, score: 39
gen alive: 16, params: danger divisor: 2.305755204698305, min opp score: 144.36856232262755, corner divisor: 4.119074125056976, corner exponent: 2.2552811292244552, id: 45859, score: 39
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, min opp score: 735.6166297166258, danger divisor: 1.7808221836541742, id: 45901, score: 39
gen alive: 15, params: min opp score: 134.22744511295932, danger divisor: 8.195219635497768, corner divisor: 1.5867073576676085, corner exponent: 2.2736765941280996, id: 45281, score: 39
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.0907113833328106, danger divisor: 7.597901098502863, min opp score: 138.61349564569954, id: 45481, score: 39
gen alive: 14, params: danger divisor: 8.62187440054989, min opp score: 139.1762947009676, corner divisor: 6.850448581965796, corner exponent: 1.7273098896886179, id: 45827, score: 39
gen alive: 13, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, danger divisor: 2.914264166191812, min opp score: 907.5000168329335, id: 45314, score: 39
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.1781004869379776, danger divisor: 7.597901098502863, min opp score: 273.07473081803323, id: 45597, score: 39
gen alive: 12, params: corner divisor: 3.571766293793713, corner exponent: 2.251590232410943, min opp score: 139.1762947009676, danger divisor: 13.134000144593898, id: 45033, score: 39
gen alive: 12, params: corner divisor: 2.862241644415418, corner exponent: 1.0626249277831632, danger divisor: 2.914264166191812, min opp score: 396.0567514417557, id: 45308, score: 39
gen alive: 12, params: corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, danger divisor: 4.99543212518088, min opp score: 524.1422087046086, id: 45845, score: 39
gen alive: 12, params: corner divisor: 3.6294799264706525, corner exponent: 1.2492137267138084, min opp score: 112.88912744156491, danger divisor: 15.982424568864612, id: 45911, score: 39
gen alive: 11, params: corner divisor: 1.4141726915481594, corner exponent: 2.797041700236501, danger divisor: 3.8816318029626142, min opp score: 129.45426664334602, id: 45387, score: 39
gen alive: 11, params: corner divisor: 4.570091971540577, corner exponent: 2.8518345300175136, danger divisor: 9.24265728223033, min opp score: 316.239352851628, id: 45589, score: 39
gen alive: 11, params: danger divisor: 3.113721459776067, min opp score: 367.8874002335756, corner divisor: 3.1572013837569095, corner exponent: 2.5580553710702327, id: 45912, score: 39
gen alive: 10, params: corner divisor: 4.570091971540577, corner exponent: 2.5580553710702327, danger divisor: 13.617339877237214, min opp score: 173.39734193257078, id: 45491, score: 39
gen alive: 10, params: min opp score: 270.2358105906869, danger divisor: 1.3608522065063957, corner divisor: 2.119522033215059, corner exponent: 2.692408801105419, id: 45667, score: 39
gen alive: 10, params: corner divisor: 7.014085205702842, corner exponent: 2.8198784911199786, danger divisor: 7.670233343084641, min opp score: 513.035326797828, id: 45773, score: 39
gen alive: 10, params: corner divisor: 2.862241644415418, corner exponent: 2.85751961023404, danger divisor: 3.027832270648794, min opp score: 867.9820447953805, id: 45816, score: 39
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 2.5870274954414665, min opp score: 112.88912744156491, danger divisor: 11.04438352537108, id: 45857, score: 39
gen alive: 8, params: corner divisor: 1.4141726915481594, corner exponent: 2.5870274954414665, danger divisor: 11.04438352537108, min opp score: 181.24629162465823, id: 44645, score: 39
gen alive: 8, params: corner divisor: 2.862241644415418, corner exponent: 2.9811918777902457, danger divisor: 1.286596863030676, min opp score: 925.6347398479124, id: 45495, score: 39
gen alive: 7, params: corner divisor: 2.862241644415418, corner exponent: 1.0626249277831632, danger divisor: 8.917529797402459, min opp score: 168.08586908378783, id: 42935, score: 39
gen alive: 6, params: danger divisor: 2.305755204698305, min opp score: 538.4871471145481, corner divisor: 4.119074125056976, corner exponent: 2.2552811292244552, id: 45611, score: 39
gen alive: 6, params: corner divisor: 6.362947359654471, corner exponent: 2.8518345300175136, danger divisor: 2.305755204698305, min opp score: 307.3728795029093, id: 45683, score: 39
gen alive: 5, params: corner divisor: 13.150160978430813, corner exponent: 1.7520585311117283, danger divisor: 16.526781510628872, min opp score: 139.1762947009676, id: 45587, score: 39
gen alive: 5, params: corner divisor: 2.8933705693424336, corner exponent: 2.698242710573721, danger divisor: 16.812958951850007, min opp score: 139.1762947009676, id: 45701, score: 39
gen alive: 2, params: corner divisor: 2.862241644415418, corner exponent: 2.0108257837402363, min opp score: 122.4941592700856, danger divisor: 6.8912156766352055, id: 45109, score: 39
