gen alive: 6, params: danger divisor: 2.305755204698305, min opp score: 235.057747182567, corner divisor: 2.438497591931453, corner exponent: 2.8518345300175136, id: 32570, score: 42
gen alive: 5, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, min opp score: 209.6381328125266, danger divisor: 12.055581167598595, id: 35455, score: 42
gen alive: 2, params: corner divisor: 1.9610570744336302, corner exponent: 1.3668302467169875, danger divisor: 4.644484035622416, min opp score: 147.27842759328072, id: 32281, score: 42
gen alive: 2, params: corner divisor: 1.4141726915481594, corner exponent: 2.3674174438922453, min opp score: 140.64327332353807, danger divisor: 10.935300166265431, id: 33887, score: 42
gen alive: 2, params: corner divisor: 3.8388720256400437, corner exponent: 2.2736765941280996, min opp score: 210.97974675215204, danger divisor: 4.277784785937255, id: 34945, score: 42
gen alive: 1, params: corner divisor: 2.438497591931453, corner exponent: 2.6666326185896345, danger divisor: 2.914264166191812, min opp score: 124.13628931558739, id: 35160, score: 42
gen alive: 25, params: corner divisor: 2.0301067311757217, corner exponent: 2.7305056666446275, danger divisor: 2.305755204698305, min opp score: 316.239352851628, id: 35618, score: 41
gen alive: 15, params: corner divisor: 1.4141726915481594, corner exponent: 2.998997981500411, danger divisor: 1.5390558275077049, min opp score: 273.07473081803323, id: 35633, score: 41
gen alive: 26, params: corner divisor: 2.438497591931453, corner exponent: 2.998997981500411, danger divisor: 2.55846266216978, min opp score: 201.6735042815908, id: 35610, score: 40
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.550749837089523, min opp score: 599.0345168720596, id: 35088, score: 40
gen alive: 22, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 140.64327332353807, danger divisor: 2.305755204698305, id: 34605, score: 40
gen alive: 22, params: corner divisor: 1.4141726915481594, corner exponent: 2.998997981500411, min opp score: 170.58405237342106, danger divisor: 1.7502101156723189, id: 35653, score: 40
gen alive: 21, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 9.389876264341792, min opp score: 139.1762947009676, id: 35646, score: 40
gen alive: 14, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 3.6695732516180946, min opp score: 285.4215005718262, id: 35561, score: 40
gen alive: 14, params: corner divisor: 7.636776808902955, corner exponent: 2.4558780495786436, danger divisor: 1.286596863030676, min opp score: 195.01361189096625, id: 35659, score: 40
gen alive: 12, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, danger divisor: 1.286596863030676, min opp score: 113.04675385150676, chip divisor: 11.1702469323259, id: 35449, score: 40
gen alive: 9, params: corner divisor: 2.862241644415418, corner exponent: 2.878587997431667, danger divisor: 1.286596863030676, min opp score: 775.8749697782026, id: 35329, score: 40
gen alive: 7, params: corner divisor: 2.1324073551439935, corner exponent: 1.2256472989392437, min opp score: 122.4941592700856, danger divisor: 1.8353198778631254, id: 34835, score: 40
gen alive: 1, params: corner divisor: 2.2245316205770544, corner exponent: 2.3899496837304257, danger divisor: 1.286596863030676, min opp score: 181.24629162465823, id: 34690, score: 40
gen alive: 35, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 2.305755204698305, min opp score: 139.1762947009676, id: 29573, score: 39
gen alive: 34, params: corner divisor: 1.8908946854051345, corner exponent: 2.440867028945015, danger divisor: 1.867775139352426, min opp score: 186.51853826082674, id: 27057, score: 39
gen alive: 26, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 140.64327332353807, danger divisor: 7.895517251511161, id: 34169, score: 39
gen alive: 23, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 1.286596863030676, min opp score: 139.1762947009676, id: 32523, score: 39
gen alive: 22, params: corner divisor: 1.8908946854051345, corner exponent: 2.2759086394161656, danger divisor: 1.0824483397993152, min opp score: 284.6640336040204, id: 35666, score: 39
gen alive: 21, params: corner divisor: 1.924872582001383, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 181.24629162465823, id: 32528, score: 39
gen alive: 21, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 189.06154507642202, danger divisor: 7.895517251511161, id: 34653, score: 39
gen alive: 21, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 820.0880506623764, danger divisor: 1.286596863030676, id: 35154, score: 39
gen alive: 21, params: min opp score: 126.32130206031114, danger divisor: 6.364712611309492, corner divisor: 1.0306314959987315, corner exponent: 2.65964097961648, id: 34691, score: 39
gen alive: 20, params: corner divisor: 1.0290058383826213, corner exponent: 2.4888656492239223, min opp score: 170.58405237342106, danger divisor: 1.734726635741528, id: 33552, score: 39
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 2.4199075958525986, danger divisor: 1.0824483397993152, min opp score: 656.3662930503825, id: 34697, score: 39
gen alive: 20, params: min opp score: 126.32130206031114, corner divisor: 1.924872582001383, corner exponent: 2.8371899607449214, danger divisor: 1.286596863030676, id: 35619, score: 39
gen alive: 20, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 1.907414930420253, min opp score: 139.1762947009676, id: 35640, score: 39
gen alive: 19, params: corner divisor: 2.0301067311757217, corner exponent: 2.7305056666446275, danger divisor: 7.895517251511161, min opp score: 113.04675385150676, id: 35134, score: 39
gen alive: 17, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, min opp score: 209.6381328125266, danger divisor: 1.721555916548688, id: 34080, score: 39
gen alive: 17, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, danger divisor: 2.550749837089523, min opp score: 181.24629162465823, id: 35090, score: 39
gen alive: 16, params: corner divisor: 2.438497591931453, corner exponent: 2.65964097961648, danger divisor: 1.286596863030676, min opp score: 122.4941592700856, id: 35593, score: 39
gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 1.373209776044789, danger divisor: 1.286596863030676, min opp score: 839.0136674481844, id: 35537, score: 39
gen alive: 14, params: danger divisor: 1.9870869242210905, min opp score: 634.8432540978475, corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, id: 35590, score: 39
gen alive: 14, params: corner divisor: 2.862241644415418, corner exponent: 1.7007481374325488, min opp score: 181.24629162465823, danger divisor: 1.0824483397993152, id: 35620, score: 39
gen alive: 13, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 695.0706344724128, danger divisor: 2.305755204698305, chip divisor: 10.396404205081696, id: 34773, score: 39
gen alive: 13, params: min opp score: 422.7236679380361, danger divisor: 1.286596863030676, corner divisor: 2.862241644415418, corner exponent: 1.5399110465178873, id: 33797, score: 39
gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 2.8664371522540826, min opp score: 869.5340749666523, danger divisor: 1.7502101156723189, id: 35023, score: 39
gen alive: 11, params: corner divisor: 3.8388720256400437, corner exponent: 2.8518345300175136, min opp score: 269.78539155913063, danger divisor: 4.277784785937255, id: 35611, score: 39
gen alive: 10, params: danger divisor: 2.305755204698305, min opp score: 232.08814983461014, corner divisor: 2.862241644415418, corner exponent: 2.5580553710702327, id: 33845, score: 39
gen alive: 9, params: corner divisor: 4.570091971540577, corner exponent: 2.6666326185896345, min opp score: 209.6381328125266, danger divisor: 8.84026059070598, id: 35021, score: 39
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, danger divisor: 2.550749837089523, min opp score: 268.9790632153391, id: 35295, score: 39
gen alive: 9, params: corner divisor: 2.865263203361331, corner exponent: 2.65964097961648, min opp score: 562.0088666612046, danger divisor: 3.7707631785755833, id: 35439, score: 39
gen alive: 9, params: corner divisor: 1.0290058383826213, corner exponent: 2.4888656492239223, min opp score: 209.6381328125266, danger divisor: 4.24203965152246, id: 35451, score: 39
gen alive: 7, params: corner divisor: 17.72342872148587, corner exponent: 2.7857747406294857, min opp score: 100.11837527347546, danger divisor: 1.8353198778631254, id: 35531, score: 39
gen alive: 4, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, danger divisor: 1.278296849099592, min opp score: 177.30821130212968, id: 35027, score: 39
gen alive: 1, params: danger divisor: 4.995160548762761, corner divisor: 3.959310076272696, corner exponent: 2.4003872313315893, min opp score: 318.5064669051766, id: 34237, score: 39
gen alive: 26, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 2.305755204698305, min opp score: 139.1762947009676, id: 34065, score: 38
gen alive: 12, params: corner divisor: 1.924872582001383, corner exponent: 2.8518345300175136, min opp score: 262.7671190271276, danger divisor: 5.655596780060346, id: 35617, score: 38
gen alive: 23, params: corner divisor: 1.4141726915481594, corner exponent: 1.7520585311117283, min opp score: 147.48583327747826, danger divisor: 5.055701253778883, id: 35665, score: 37
gen alive: 20, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, danger divisor: 9.389876264341792, min opp score: 599.0345168720596, id: 31287, score: 37
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 2.2759086394161656, min opp score: 164.37054741828962, danger divisor: 8.66653618320996, id: 35129, score: 37
gen alive: 17, params: corner divisor: 1.38057181318413, corner exponent: 1.761426196647152, danger divisor: 1.721555916548688, min opp score: 209.6381328125266, id: 35583, score: 37
gen alive: 15, params: corner divisor: 1.8908946854051345, corner exponent: 2.2759086394161656, min opp score: 164.37054741828962, danger divisor: 12.293775307701774, id: 35031, score: 37
gen alive: 14, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 341.81819421973586, danger divisor: 7.895517251511161, id: 34485, score: 37
gen alive: 14, params: corner divisor: 6.561388961150125, corner exponent: 1.819712670063646, danger divisor: 2.305755204698305, min opp score: 599.0345168720596, id: 35668, score: 37
gen alive: 10, params: corner divisor: 1.0290058383826213, corner exponent: 2.4888656492239223, min opp score: 221.50843650322844, danger divisor: 9.82883762646835, id: 35401, score: 37
gen alive: 9, params: min opp score: 660.1591581208451, corner divisor: 1.0306314959987315, corner exponent: 2.8371899607449214, danger divisor: 1.286596863030676, id: 34771, score: 37
gen alive: 24, params: min opp score: 170.58405237342106, danger divisor: 1.867775139352426, corner divisor: 2.190810671313228, corner exponent: 2.4951963228436944, id: 33570, score: 36
gen alive: 22, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 140.64327332353807, id: 29519, score: 36
gen alive: 21, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 6.364712611309492, min opp score: 126.32130206031114, id: 35631, score: 36
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, danger divisor: 2.7610173220029974, min opp score: 269.78539155913063, id: 28407, score: 36
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 1.761426196647152, min opp score: 422.7236679380361, danger divisor: 2.305755204698305, id: 35600, score: 36
gen alive: 19, params: min opp score: 422.7236679380361, danger divisor: 3.7707631785755833, corner divisor: 1.4141726915481594, corner exponent: 2.4888656492239223, id: 35169, score: 36
gen alive: 18, params: corner divisor: 5.072178240936983, corner exponent: 2.2598701791750018, min opp score: 140.64327332353807, danger divisor: 2.305755204698305, id: 35204, score: 36
gen alive: 17, params: corner divisor: 2.438497591931453, corner exponent: 2.998997981500411, min opp score: 345.07430026628464, danger divisor: 1.286596863030676, id: 35636, score: 36
gen alive: 17, params: min opp score: 147.48583327747826, danger divisor: 2.7610173220029974, corner divisor: 2.190810671313228, corner exponent: 2.4558780495786436, id: 35661, score: 36
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 5.055701253778883, min opp score: 210.97974675215204, id: 35667, score: 36
gen alive: 16, params: corner divisor: 4.732183647193054, corner exponent: 2.998997981500411, danger divisor: 1.0824483397993152, min opp score: 273.07473081803323, id: 35650, score: 36
gen alive: 14, params: corner divisor: 5.072178240936983, corner exponent: 2.2598701791750018, min opp score: 139.1762947009676, danger divisor: 3.2260691062100193, id: 31393, score: 36
gen alive: 13, params: corner divisor: 5.864197645788367, corner exponent: 1.9604445913570525, danger divisor: 2.305755204698305, min opp score: 410.51674461387324, id: 34473, score: 36
gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 1.9505563790377844, danger divisor: 1.286596863030676, min opp score: 548.7089468974793, id: 35112, score: 36
